
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Intensity	Angle (degrees)	Bearing (degrees)	Line Width (µm)	Parent ID	Distance (µm)	Distance	Normalized Distance
N/A	Line Profile Sample 9 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	774.5	N/A	N/A	N/A	2	0.715	8	0.22
N/A	Line Profile Sample 10 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	783.94	N/A	N/A	N/A	2	0.804	9	0.248
N/A	Line Profile Sample 11 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	779.61	N/A	N/A	N/A	2	0.894	10	0.275
N/A	Line Profile Sample 12 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	759.17	N/A	N/A	N/A	2	0.983	11	0.303
N/A	Line Profile Sample 13 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	740.19	N/A	N/A	N/A	2	1.07	12	0.33
N/A	Line Profile Sample 14 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	692.54	N/A	N/A	N/A	2	1.16	13	0.358
N/A	Line Profile Sample 15 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	687.59	N/A	N/A	N/A	2	1.25	14	0.385
N/A	Line Profile Sample 16 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	744.3	N/A	N/A	N/A	2	1.34	15	0.413
N/A	Line Profile Sample 17 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	736.21	N/A	N/A	N/A	2	1.43	16	0.44
N/A	Line Profile Sample 18 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	719.34	N/A	N/A	N/A	2	1.52	17	0.468
N/A	Line Profile Sample 19 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	723.54	N/A	N/A	N/A	2	1.61	18	0.495
N/A	Line Profile Sample 20 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	733.65	N/A	N/A	N/A	2	1.7	19	0.523
N/A	Line Profile Sample 21 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	754.96	N/A	N/A	N/A	2	1.79	20	0.55
N/A	Line Profile Sample 22 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	738.86	N/A	N/A	N/A	2	1.88	21	0.578
N/A	Line Profile Sample 23 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	725.1	N/A	N/A	N/A	2	1.97	22	0.605
N/A	Line Profile Sample 24 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	764.86	N/A	N/A	N/A	2	2.06	23	0.633
N/A	Line Profile Sample 25 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	741.74	N/A	N/A	N/A	2	2.14	24	0.66
N/A	Line Profile Sample 26 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	731.16	N/A	N/A	N/A	2	2.23	25	0.688
N/A	Line Profile Sample 27 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	749.17	N/A	N/A	N/A	2	2.32	26	0.715
