23,I,1350,1297.45,1279.31,1328.74,1307.54,1303.7,1294.97,1275.42,1302.23,1349.31,1345.81,1350.75,1350.55,1373.68,1383.3,1365.26,1380.87,1334.16,1324.75,1315.25,1349,1334.31,1309.23,1310.92,1293.51,1282.34,1272.73,1280.55,1326.27,1283.96,1286.99,1287,,,,,,,,,,,,,
,ND,0,0.0325,0.0649,0.0974,0.13,0.162,0.195,0.227,0.26,0.292,0.325,0.357,0.39,0.422,0.454,0.487,0.519,0.552,0.584,0.617,0.649,0.682,0.714,0.747,0.779,0.812,0.844,0.876,0.909,0.941,0.974,1,,,,,,,,,,,,,
24,I,1683,1673.65,1705.1,1686.7,1686.59,1676.74,1721.17,1668.99,1660.51,1697.85,1681.55,1616.23,1673.03,1648.32,1641.4,1676.14,1737.51,1671.43,1672.73,1682.2,1711.49,1755.87,1743.82,1744.26,1739.73,1686.29,1628.73,1708.4,1667.5,1587.53,1640.7,1672,,,,,,,,,,,,,
,ND,0,0.0325,0.0649,0.0974,0.13,0.162,0.195,0.227,0.26,0.292,0.325,0.357,0.39,0.422,0.454,0.487,0.519,0.552,0.584,0.617,0.649,0.682,0.714,0.747,0.779,0.812,0.844,0.876,0.909,0.941,0.974,1,,,,,,,,,,,,,
25,I,1784,1906.73,1892.41,1929.74,1963.8,1908.09,1994.07,2054.48,1971.91,1919.2,1950.09,1969.81,2008.31,2043.75,2012.4,2022.47,1981.06,1926.92,1940.98,1891.32,1929.75,1935.52,1971.44,1944.02,1870.53,1789.67,1775.27,1795.87,1778.64,1790,,,,,,,,,,,,,,,
,ND,0,0.0352,0.0704,0.106,0.141,0.176,0.211,0.246,0.281,0.317,0.352,0.387,0.422,0.457,0.493,0.528,0.563,0.598,0.633,0.668,0.704,0.739,0.774,0.809,0.844,0.879,0.915,0.95,0.985,1,,,,,,,,,,,,,,,
26,I,1284,1306.31,1354.53,1346.01,1348.05,1331.21,1338.49,1379.25,1394.13,1394.89,1372.82,1404.07,1398.45,1399.49,1310.42,1299.57,1294.14,1297.72,1331.13,1295.99,1327.32,1351.22,1324.87,1283.91,1285.8,1276.89,1312.57,1317.49,1305.13,1319,,,,,,,,,,,,,,,
,ND,0,0.0352,0.0704,0.106,0.141,0.176,0.211,0.246,0.281,0.317,0.352,0.387,0.422,0.457,0.493,0.528,0.563,0.598,0.633,0.668,0.704,0.739,0.774,0.809,0.844,0.879,0.915,0.95,0.985,1,,,,,,,,,,,,,,,
27,I,1596,1633.46,1711.67,1667.74,1639.73,1723.77,1655.57,1621.6,1621.33,1732.94,1660.33,1658.49,1692.06,1658.65,1726.9,1728.38,1675.84,1647.8,1712.31,1708.65,1692.64,1688.59,1753.8,1681.42,1664.2,1696.66,1680.97,1721.81,1679.81,1720,,,,,,,,,,,,,,,
,ND,0,0.0352,0.0704,0.106,0.141,0.176,0.211,0.246,0.281,0.317,0.352,0.387,0.422,0.457,0.493,0.528,0.563,0.598,0.633,0.668,0.704,0.739,0.774,0.809,0.844,0.879,0.915,0.95,0.985,1,,,,,,,,,,,,,,,
29,I,1610,1637.76,1620.08,1648.69,1705.6,1703.37,1717.23,1722.29,1733.93,1702.83,1705.81,1698.53,1664.43,1661.42,1668.7,1689.03,1694.56,1645.37,1605.81,1651.98,1673.3,1624.33,1647.32,1685.8,1699.19,1643.37,1638.48,1701.43,1671.3,1624.53,1659.44,1688.8,1701.21,1687,,,,,,,,,,,
,ND,0,0.0306,0.0613,0.0919,0.123,0.153,0.184,0.214,0.245,0.276,0.306,0.337,0.368,0.398,0.429,0.459,0.49,0.521,0.551,0.582,0.613,0.643,0.674,0.704,0.735,0.766,0.796,0.827,0.858,0.888,0.919,0.949,0.98,1,,,,,,,,,,,
30,I,1021,1015.08,1020.26,1032.77,1011.87,1031.83,1016.43,1098.12,1079.03,1083.89,1082.13,1095.45,1097.5,1084.31,1096.7,1098.03,1085.61,1066.71,1065.21,1048.26,1021.65,1070.58,1064.73,1056.37,1041.52,1032.75,1046.54,1025.14,1040.89,1029.2,1038.48,1039.14,1058.43,1066.99,1091.26,1083.04,1071.2,1076.67,1093.72,1030.29,1039.98,1051.66,1043.8,1030.65,1025
,ND,0,0.023,0.0461,0.0691,0.0921,0.115,0.138,0.161,0.184,0.207,0.23,0.253,0.276,0.299,0.322,0.345,0.369,0.392,0.415,0.438,0.461,0.484,0.507,0.53,0.553,0.576,0.599,0.622,0.645,0.668,0.691,0.714,0.737,0.76,0.783,0.806,0.829,0.852,0.875,0.898,0.921,0.944,0.967,0.99,1
31,I,2326,2340.2,2360.25,2396.67,2419.65,2437.51,2470.68,2495.6,2423.22,2503.87,2511.45,2556.31,2532.61,2578.68,2680.1,2675.33,2645.66,2685.8,2686.45,2622.9,2626.39,2583.55,2624.48,2664.04,2677.67,2614.48,2546.82,2501.27,2463.89,2441,,,,,,,,,,,,,,,
,ND,0,0.0356,0.0712,0.107,0.142,0.178,0.214,0.249,0.285,0.321,0.356,0.392,0.427,0.463,0.499,0.534,0.57,0.606,0.641,0.677,0.712,0.748,0.784,0.819,0.855,0.891,0.926,0.962,0.997,1,,,,,,,,,,,,,,,
33,I,2339,2471.67,2612.13,2687.54,2717.39,2759.79,2821.96,2799.53,2827.07,2803.04,2797.72,2768.04,2813.89,2884.42,2848.55,2872.28,2910.44,2802.56,2793.16,2653.1,2541.1,2355.19,2324,,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.047,0.0941,0.141,0.188,0.235,0.282,0.329,0.376,0.423,0.47,0.517,0.564,0.611,0.659,0.706,0.753,0.8,0.847,0.894,0.941,0.988,1,,,,,,,,,,,,,,,,,,,,,,
